FID,ADM0_NAME,BPCP_irrig,BPCP_inten,FAO_irrig,FAO_awm,WaPOR_prod,LGRIP_prod
0,Sudan,61256,35486,0,18520,32796,20656
1,Angola,1531,662,115,4055,6057,457
2,Benin,1592,428,172,313,1255,640
3,Botswana,2824,1819,38,103,6127,250
4,Burkina Faso,4304,1164,461,767,665,199
5,Cameroon,1412,572,0,257,454,1949
6,Central African Republic,1352,622,1,6,25,14
7,Chad,4608,1890,262,1767,1082,189
8,Congo,1,0,0,20,4,329
9,Côte d'Ivoire,637,166,669,890,820,5939
10,Democratic Republic of the Congo,4523,1512,73,135,812,8535
11,Djibouti,3,2,4,10,5,0
12,South Sudan,2463,1060,0,0,1577,114
13,Equatorial Guinea,0,0,0,0,0,0
14,Eritrea,399,167,135,216,452,139
15,Ethiopia,22574,8641,0,19582,10925,38774
16,Gabon,0,0,0,45,0,0
17,Gambia,2085,1132,11,153,99,58
18,Ghana,286,39,303,309,1519,3888
19,Guinea-Bissau,290,128,226,519,10,275
20,Guinea,109,21,243,1012,41,376
21,Kenya,12423,3626,972,2004,17849,49505
22,Lesotho,10,0,1,26,13,38
23,Liberia,0,0,0,201,0,4
24,Madagascar,809,324,269,1525,1304,7928
25,Malawi,9308,5657,1758,6251,10252,3452
26,Mali,0,0,0,0,0,0
27,Mauritania,860,644,228,1088,1112,44
28,Mozambique,8503,4728,620,1181,10571,3004
29,Namibia,1213,772,61,96,1848,52
30,Niger,5429,1760,879,1384,1762,715
31,Nigeria,21849,11574,2188,10131,6291,8740
32,Senegal,15112,4156,690,1871,1406,460
33,Sierra Leone,0,0,0,1554,12,106
34,Somalia,4492,3175,650,2000,6579,1686
35,South Africa,41869,22778,14980,20874,46403,45076
36,Swaziland,3124,1993,0,0,2933,1284
37,Togo,373,18,62,79,1918,2298
38,Uganda,15386,3907,106,645,1847,24704
39,United Republic of Tanzania,8382,2230,0,3635,11062,49594
40,Zambia,15166,6943,1559,2559,1712,7137
41,Zimbabwe,42208,20636,1239,1998,18413,4470
42,Algeria,18602,6074,10650,13650,5679,54662
43,Burundi,2075,262,0,1044,171,981
44,Abyei,0,0,0,0,2,0
45,Libya,8474,2982,3160,4000,1499,9704
46,Morocco,57387,33986,14480,15202,9807,53796
47,Rwanda,1060,140,79,550,235,4715
48,Sao Tome and Principe,0,0,0,0,0,0
49,Tunisia,10553,3443,4110,4410,6524,28179
50,Western Sahara,1,0,0,0,0,0
51,Hala'ib triangle,0,0,0,0,0,0
52,Ma'tan al-Sarra,2731,1624,5500,11270,3574,2763
53,Egypt,41196,40365,34220,38230,39605,45803
54,Ilemi triangle,0,0,0,0,0,0
